LOCATION,PLOT,YEAR,REP,DM,BM,GY,TGW,F1_OVERALL_1,F1_OVERALL_2,F1_OVERALL_3,F1_OVERALL_4,M2_OVERALL_1,M2_OVERALL_2,M2_OVERALL_3,M2_OVERALL_4,M2_OVERALL_5
hagreselam,478,2013,2,126,7.5,1.541893429,40.01673143,4,4,4,3,3,3,2,3,3
hagreselam,369,2012,1,113,5.625,2.205152143,36.25005714,1,1,2,2,1,1,2,NA,3
geregera,49,2013,1,134,8.75,3.325787143,35.7,4,4,4,4,2,2,2,2,2
geregera,725,2012,2,133,2.5,0.494759048,28.27691429,1,1,NA,1,1,1,1,1,NA
hagreselam,79,2013,1,140,NA,2.889213857,61.62052571,5,4,4,4,3,3,3,3,3
GereGera,759,2013,2,166,3.75,1.062205714,35.4,3,4,3,4,2,3,2,2,2
hagreselam,699,2013,2,117,9.375,3.347147429,52.50834286,4,4,4,4,3,3,3,NA,3
geregera,525,2012,2,155,5,1.671108571,40.4992,4,3,4,3,4,3,NA,3,4
hagreselam,14,2013,1,101,7.5,3.151363929,41.57668571,4,4,5,5,3,3,3,2,2
hagreselam,14,2012,1,116,10,3.937468571,36.63177143,5,5,5,5,4,4,3,4,4
geregera,232,2012,1,134,6.666666667,1.597651429,27.94605714,2,2,2,2,1,1,3,1,2
hagreselam,149,2012,1,NA,5.625,2.156055,33.18148571,3,3,3,3,2,3,3,3,2
geregera,436,2013,2,NA,6.25,2.13767,42.9,4,NA,3,4,3,3,3,2,3
geregera,369,2013,1,152,3.75,0.9231,NA,2,2,4,3,2,2,2,NA,2
hagreselam,396,2012,1,118,4.375,1.747561143,33.53581714,3,3,3,3,NA,4,3,3,4
hagreselam,49,2012,1,116,8.75,3.831274286,32.95177143,2,1,1,1,1,1,3,3,2
geregera,266,2013,1,146,8.75,2.9535,49.5,4,4,4,5,2,2,1,2,2
hagreselam,602,NA,2,NA,9.375,1.665774857,39.19213714,4,4,4,4,4,3,2,3,2
hagreselam,149,2013,1,118,6.875,2.635256571,44.30153143,4,3,NA,4,2,3,3,2,NA
geregera,64,2012,1,143,6.666666667,1.543704762,28.94125714,2,3,3,NA,4,4,3,3,3
hagreselam,232,2012,1,123,4.375,1.8864625,34.14832,2,2,2,2,1,1,3,1,NA
geregera,759,2012,2,157,7.5,1.880571429,37.74857143,2,2,NA,2,4,4,3,3,3
hagreselam,49,2013,1,118,10,3.269957357,43.45595429,5,4,4,5,2,2,3,2,2
hagreselam,529,2013,2,127,11.25,4.935601,58.07456,4,NA,4,5,3,3,NA,3,3
hagreselam,721,2013,2,116,6.25,1.751822857,38.92882286,4,4,4,5,3,3,3,3,3
geregera,149,2013,1,142,7.5,0.178465714,34.4,5,4,5,5,2,3,3,3,3
hagreselam,725,2013,2,138,3.125,1.142787857,45.8784,5,4,4,5,3,3,NA,3,3
geregera,382,2012,NA,140,8.333333333,2.2475,35.2408,3,4,3,3,4,5,5,5,4
hagreselam,699,2012,2,119,6.875,1.689319357,25.94528,1,1,2,2,4,4,4,4,4
hagreselam,382,2012,1,115,1.875,0.73416,27.16196571,3,4,3,3,4,5,5,5,NA
geregera,327,2012,1,147,5,1.536748571,37.48251429,4,4,4,4,2,3,3,3,2
geregera,369,2012,1,147,5,1.28952381,32.22857143,1,1,2,2,1,1,2,2,3
geregera,49,NA,1,140,NA,1.286854286,24.76102857,2,1,1,1,1,1,3,3,2
geregera,550,2013,2,152,3.75,1.50114,35.2,4,5,4,5,NA,3,3,2,3
hagreselam,797,2013,2,123,11.875,3.680960571,59.17856,5,4,0.36,4,4,3,4,0.36,4
geregera,79,2013,1,124,7.5,1.716978571,44.5,4,3,4,4,2,3,3,3,2
GereGera,602,2013,2,142,NA,2.197328571,38.8,4,4,4,4,4,3,2,3,2
hagreselam,439,2012,2,120,6.25,2.13018,30.992,5,4,4,4,4,4,5,4,4
hagreselam,525,2013,2,110,7.5,2.628040714,43.44329143,4,4,0.36,5,4,3,4,0.36,4
geregera,14,2013,1,134,7.5,2.331234286,38.6,4,4,4,5,2,2,2,1,2
GereGera,731,NA,2,141,5.833333333,1.594804762,35.084,3,3,3,3,4,4,4,4,3
geregera,780,2012,2,150,5,NA,44.7552,4,4,5,4,5,5,5,NA,NA
geregera,149,2012,1,NA,NA,1.049142857,32.50285714,3,3,3,3,2,3,3,3,2
hagreselam,478,2012,2,116,7.5,2.757531929,34.42018286,2,2,2,2,3,3,3,3,3
hagreselam,725,2012,2,111,8.125,2.368517643,NA,1,1,1,1,1,1,1,1,1
hagreselam,759,2012,2,120,5.625,1.863435857,30.98454857,NA,NA,2,2,4,4,3,NA,3
geregera,525,2013,2,166,12.5,3.017888571,57.4,4,NA,4,5,3,3,2,3,3
geregera,136,2012,1,146,7.5,2.142188571,39.24777143,4,3,3,3,3,4,3,3,4
hagreselam,266,2012,1,NA,5.625,2.114968786,38.77904,3,2,2,3,NA,2,2,2,3
geregera,436,2012,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3
geregera,396,2013,1,135,6.25,1.974514286,NA,2,1,2,3,2,2,2,2,1
hagreselam,436,2012,2,120,9.375,3.591582214,47.35451429,2,missing,2,2,3,3,3,3,3
hagreselam,396,2013,1,126,5.9375,3.0210895,61.23474286,2,2,2,3,2,2,1,2,NA
hagreselam,502,2013,2,137,8.75,2.730376,55.17686857,4,3,NA,5,2,3,2,2,2
hagreselam,398,2013,1,NA,12.5,2.863226286,59.59168,2,3,2,3,2,2,2,2,2
GereGera,396,2012,1,136,8.333333333,2.381142857,32.4,3,3,3,3,5,4,3,3,4
hagreselam,64,2013,1,118,6.875,3.206657143,54.87177143,4,3,4,4,2,2,3,2,NA
geregera,232,2013,1,146,7.5,2.399618571,37,4,4,4,5,1,2,2,2,2
hagreselam,780,NA,2,116,6.875,2.384028571,39.01325714,5,5,NA,4,3,3,3,3,4
geregera,382,2013,1,152,5,1.510821429,44.3,2,2,3,3,2,2,2,2,2
hagreselam,525,2012,2,122,10.625,3.375026571,33.48116571,3,4,3,4,NA,3,3,3,NA
hagreselam,780,2012,2,116,NA,1.901376,41.04192,4,4,5,4,NA,5,5,4,4
hagreselam,731,2012,2,NA,10.625,3.471535929,38.12605714,3,3,3,3,4,4,4,4,3
geregera,14,2012,1,133,8.666666667,2.19303619,36.21622857,5,5,5,5,4,4,3,4,4
hagreselam,759,2013,NA,121,12.5,5.223990357,51.25321143,4,4,4,5,3,3,3,3,2
hagreselam,266,2013,1,121,13.125,4.169414214,NA,4,4,4,4,1,2,3,NA,1
geregera,64,2013,1,145,12.5,3.66848,NA,3,4,4,4,2,2,2,2,2
hagreselam,79,2012,1,117,8.75,2.923111429,40.86518857,3,3,3,3,5,5,4,4,4
geregera,602,NA,2,118,8.333333333,2.264670476,36.43314286,2,2,2,2,4,3,4,4,4
geregera,550,2012,2,136,4.166666667,1.3462,26.5176,3,3,NA,4,4,3,3,3,2
hagreselam,550,2013,2,117,11.25,4.324434,52.9392,4,5,4,4,NA,NA,5,3,4
hagreselam,327,2012,1,116,5.9375,1.802112071,38.39264,4,4,4,4,2,3,3,3,2
hagreselam,369,2013,1,NA,10,3.859396714,52.02048,4,2,3,3,2,2,2,2,3
hagreselam,64,2012,1,117,9.375,3.205528571,30.50148571,2,3,3,3,4,4,3,3,3
hagreselam,731,2013,2,135,12.5,3.247521429,51.92228571,5,4,4,5,3,2,3,2,NA
geregera,79,2012,1,141,7.5,2.0726,41.3832,3,3,NA,3,5,5,4,4,4
hagreselam,136,2013,1,124,6.25,2.603945143,37.44073143,5,*,4,5,2,2,2,2,2
geregera,731,2013,2,154,6.25,1.879131429,43.5,5,4,4,5,3,4,3,3,2
GereGera,780,2013,2,147,1.25,0.317142857,NA,5,NA,4,4,NA,3,3,3,NA
geregera,327,2013,1,167,NA,1.751168571,44.9,3,2,3,3,3,4,3,3,2
geregera,136,2013,1,155,11.25,2.586085714,41.6,4,4,4,4,3,3,4,NA,2
hagreselam,136,2012,1,126,8.75,3.505276143,45.61634286,4,3,3,3,3,4,3,3,4
hagreselam,382,2013,1,120,10.3125,3.546213429,50.44608,3,4,4,4,2,3,1,3,2
hagreselam,502,2012,2,122,8.125,2.919581429,31.73485714,2,3,4,2,4,2,3,NA,3
geregera,266,2012,1,136,3.75,1.094965714,32.20182857,3,2,2,3,2,2,2,2,3
geregera,725,2013,2,147,5,2.059317143,37.7,5,4,4,4,3,3,2,3,3
hagreselam,247,2013,1,NA,5.625,2.111625571,39.84580571,4,NA,4,4,2,2,2,1,2
hagreselam,439,2013,2,141,8.75,2.4317415,45.81504,5,4,5,5,4,4,5,4,5
hagreselam,530,NA,2,117,6.25,1.795821429,32.86450286,4,3,4,4,4,4,4,4,3
